Solenoidal Fraction,Virial Parameter,Plasma beta,Mach Number,kMin,kMax,Seed,Kinetic Temperature,Magnetic Field,Index,Sound Speed,Crossing Time,PL Index,Box Size,Density
0.2,2.0,0.63095734448,5.0,2,4,13858792,10.0,9.04018248122e-07,0,18808.99808,3.28106533729e+14,2.0,128,5.79940194896e-23
0.2,2.0,0.63095734448,5.0,4,8,763747,10.0,9.04018248122e-07,1,18808.99808,3.28106533729e+14,2.0,128,5.79940194896e-23
0.2,2.0,0.63095734448,12.0,2,4,14342620,10.0,2.16964379549e-06,2,18808.99808,1.3671105572e+14,2.0,128,3.3404555226e-22
0.2,2.0,0.63095734448,12.0,4,8,5020040,10.0,2.16964379549e-06,3,18808.99808,1.3671105572e+14,2.0,128,3.3404555226e-22
0.2,2.0,1.58489319246,5.0,2,4,11079965,10.0,5.70396953197e-07,4,18808.99808,3.28106533729e+14,2.0,128,5.79940194896e-23
0.2,2.0,1.58489319246,5.0,4,8,6157499,10.0,5.70396953197e-07,5,18808.99808,3.28106533729e+14,2.0,128,5.79940194896e-23
0.2,2.0,1.58489319246,12.0,2,4,14881144,10.0,1.36895268767e-06,6,18808.99808,1.3671105572e+14,2.0,128,3.3404555226e-22
0.2,2.0,1.58489319246,12.0,4,8,7261371,10.0,1.36895268767e-06,7,18808.99808,1.3671105572e+14,2.0,128,3.3404555226e-22
0.8,2.0,0.63095734448,5.0,2,4,8110215,10.0,9.04018248122e-07,8,18808.99808,3.28106533729e+14,2.0,128,5.79940194896e-23
0.8,2.0,0.63095734448,5.0,4,8,15851598,10.0,9.04018248122e-07,9,18808.99808,3.28106533729e+14,2.0,128,5.79940194896e-23
0.8,2.0,0.63095734448,12.0,2,4,8508645,10.0,2.16964379549e-06,10,18808.99808,1.3671105572e+14,2.0,128,3.3404555226e-22
0.8,2.0,0.63095734448,12.0,4,8,1858029,10.0,2.16964379549e-06,11,18808.99808,1.3671105572e+14,2.0,128,3.3404555226e-22
0.8,2.0,1.58489319246,5.0,2,4,945520,10.0,5.70396953197e-07,12,18808.99808,3.28106533729e+14,2.0,128,5.79940194896e-23
0.8,2.0,1.58489319246,5.0,4,8,13892944,10.0,5.70396953197e-07,13,18808.99808,3.28106533729e+14,2.0,128,5.79940194896e-23
0.8,2.0,1.58489319246,12.0,2,4,9206224,10.0,1.36895268767e-06,14,18808.99808,1.3671105572e+14,2.0,128,3.3404555226e-22
0.8,2.0,1.58489319246,12.0,4,8,15671176,10.0,1.36895268767e-06,15,18808.99808,1.3671105572e+14,2.0,128,3.3404555226e-22
0.2,10.0,0.63095734448,5.0,2,4,16659523,10.0,4.0428925114e-07,16,18808.99808,3.28106533729e+14,2.0,128,1.15988038979e-23
0.2,10.0,0.63095734448,5.0,4,8,10142192,10.0,4.0428925114e-07,17,18808.99808,3.28106533729e+14,2.0,128,1.15988038979e-23
0.2,10.0,0.63095734448,12.0,2,4,6178963,10.0,9.70294202737e-07,18,18808.99808,1.3671105572e+14,2.0,128,6.6809110452e-23
0.2,10.0,0.63095734448,12.0,4,8,9255337,10.0,9.70294202737e-07,19,18808.99808,1.3671105572e+14,2.0,128,6.6809110452e-23
0.2,10.0,1.58489319246,5.0,2,4,11345490,10.0,2.55089272301e-07,20,18808.99808,3.28106533729e+14,2.0,128,1.15988038979e-23
0.2,10.0,1.58489319246,5.0,4,8,1905969,10.0,2.55089272301e-07,21,18808.99808,3.28106533729e+14,2.0,128,1.15988038979e-23
0.2,10.0,1.58489319246,12.0,2,4,15998073,10.0,6.12214253523e-07,22,18808.99808,1.3671105572e+14,2.0,128,6.6809110452e-23
0.2,10.0,1.58489319246,12.0,4,8,12880742,10.0,6.12214253523e-07,23,18808.99808,1.3671105572e+14,2.0,128,6.6809110452e-23
0.8,10.0,0.63095734448,5.0,2,4,5038356,10.0,4.0428925114e-07,24,18808.99808,3.28106533729e+14,2.0,128,1.15988038979e-23
0.8,10.0,0.63095734448,5.0,4,8,894429,10.0,4.0428925114e-07,25,18808.99808,3.28106533729e+14,2.0,128,1.15988038979e-23
0.8,10.0,0.63095734448,12.0,2,4,11762154,10.0,9.70294202737e-07,26,18808.99808,1.3671105572e+14,2.0,128,6.6809110452e-23
0.8,10.0,0.63095734448,12.0,4,8,1359022,10.0,9.70294202737e-07,27,18808.99808,1.3671105572e+14,2.0,128,6.6809110452e-23
0.8,10.0,1.58489319246,5.0,2,4,6380659,10.0,2.55089272301e-07,28,18808.99808,3.28106533729e+14,2.0,128,1.15988038979e-23
0.8,10.0,1.58489319246,5.0,4,8,10274999,10.0,2.55089272301e-07,29,18808.99808,3.28106533729e+14,2.0,128,1.15988038979e-23
0.8,10.0,1.58489319246,12.0,2,4,12577317,10.0,6.12214253523e-07,30,18808.99808,1.3671105572e+14,2.0,128,6.6809110452e-23
0.8,10.0,1.58489319246,12.0,4,8,14927200,10.0,6.12214253523e-07,31,18808.99808,1.3671105572e+14,2.0,128,6.6809110452e-23
